OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
x,15658,Accomack County Circuit Court,,Accomack Cty. Cir. Ct.,,23,Va.,,1981-12-04,2012-04-24,3782639,View example
x,13190,Adams Circuit Court,,Adams Cir. Ct.,,1,Ohio,,1886-11,1886-11,1616627,View example
x,17340,Adams County Circuit Court,,Adams Cty. Cir. Ct.,,1,Ohio,,1900-04,1900-04,1515775,View example
x,9311,Adams County Court of Common Pleas,,Adams Cty. C.P.,,478,Pa.,,1891-10-05,2014-08-25,29914,View example
x,16855,Adams County Court of Common Pleas,,Adams Cty. Ct. C.P.,Adams Cty. C.P.,3,Pa.,,1885-12-14,1968-10-21,1036272,View example
x,13144,Adams County Court of Oyer and Terminer,,Adams Cty. Ct. Oyer & Terminer,,2,Pa.,,1958-05-20,1961-07-08,1633828,View example
x,12260,Adams County Court of Quarter Sessions,,Adams Cty. Ct. Quarter Sess.,,28,Pa.,,1937-12-27,1968-11-21,1531144,View example
x,16543,Adams County of Common Pleas,,Adams Cty. C.P.,,2,Pa.,,1983-03-18,1983-04-27,1937636,View example
x,9701,Adams County Orphans' Court,,Adams Cty. Orphans' Ct.,,12,Pa.,,1933-10-16,1967-08-03,351166,View example
x,13297,Adams County Orphans' Court,,Adams Cty. Orphans' Court,Adams Cty. Orphans' Ct.,1,Pa.,,1961-10-11,1961-10-11,1659402,View example
x,11867,Adams County Orphans' Court,,Adams Orphans' Ct.,Adams Cty. Orphans' Ct.,1,Pa.,,1987-01-29,1987-01-29,1273060,View example
x,15673,Agusta County Circuit Court,,Agusta Cty. Cir. Ct.,,1,Va.,,1997-07-18,1997-07-18,3904535,View example
x,11989,Akron Municipal Court,,Akron Mun. Ct.,,69,Ohio,,1923-07-31,2000-04-04,1432914,View example
x,12012,Akron Municipal Court,,Ohio Mun. Ct.,Akron Mun. Ct.,9,Ohio,,1973-09-26,1980-07-29,1443599,View example
x,21510,Akron Municipal Court,,Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1984-06-04,1984-06-04,6707285,View example
x,21525,Akron Municipal Court.,,Akron Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1981-06-15,1981-06-15,6706739,View example
